Name,Category,Sub-Category,Data Collection step,Id
AltRight.com	Alt-right	Alt-right	1	UCSTy-H5lSiCcozas32sfJlQ
AmRenVideos	Alt-right	Alt-right	1	UCMLbmp5tcLxzahMLTmeM4lg
AmRen Podcasts	Alt-right	Alt-right	1	UCyZVnp-_owuoPlzNJNtaxZQ
Darkstream	Alt-right	Alt-right	1	UCGJNdaSwFeP3pLd1MhN0dRg
Voxiversity	Alt-right	Alt-right	1	UCutpp9X6rKErxUkv4wKBRPA
iambakedalaska	Alt-right	Alt-right	1	UCAgBUlIpzlJaE0693J3s97w
Baked Alaska 2	Alt-right	Alt-right	1	UCXfJ65sVQ5F3nJsm86yM6jA
Johnny Monoxide	Alt-right	Alt-right	1	UC2JVrseRgh0ccDQ7c8qnXTQ
NPI / Radix	Alt-right	Alt-right	1	UC_NPMpK-gZVIKqvDRljgbBA
Traditionalist Worker Party	Alt-right	Alt-right	1	UC4f8Z2XefBDL421pnNEQH0Q
Matt Forney	Alt-right	Alt-right	1	UCFc0stDRUkeBDc36qZeox1g
Red Ice TV	Alt-right	Alt-right	1	UCFUC7NaTxZanB_FVOJN92eg
augustussolinvictus	Alt-right	Alt-right	1	UCZmn5TswQ0m13ihKsbJ8Wzw
CounterCurrentsTV	Alt-right	Alt-right	1	UC94FYUJYBqq4CHPhfJUCxDw
Ayla Stewart Wife With A Purpose	Alt-right	Alt-right	1	UCZeP6H2mELnRI9imY5Iga0g
Black Pigeon Speaks	Alt-right	Alt-right	1	UCmrLCXSDScliR7q8AxxjvXg
Bre Faucheux	Alt-right	Alt-right	1	UCOtFVJUoek4TKZAaeQVhiLA
James Allsup	Alt-right	Alt-right	1	UCIZBXVGIJoJMXf8giib0IiQ
Jean-François Gariépy	Alt-right	Alt-right	1	UCowcNKm1w2GGw5U_XQeduhg
The Golden One	Alt-right	Alt-right	1	UCN0-RRaxMgh86eOwndAklxw
MillennialWoes	Alt-right	Alt-right	1	UCLfhh63n0fWn0gXXKQ5NWvw
MW Live	Alt-right	Alt-right	1	UCNP2yhz10CUEKhzHCUu2r4Q
The Reality Calls Show	Alt-right	Alt-right	1	UCmtALVZjXFzb4v3fIXDmDyw
Faith J Goldy	Alt-right	Alt-right	1	UClMWnUHbxJKJLUgloN1mPUA
Staying Woke	Alt-right	Alt-right	1	UCp-c7UZowNgx_sGtGCI8M1g
Jason Kessler	Alt-right	Alt-right	1	UC68k9B1W2GTDZv9e10ySrxA
Brittany Pettibone	Alt-lite	Alt-lite	1	UCesrUK_dMDBZAf7cnjQPdgQ
Gavin McInnes	Alt-lite	Alt-lite	1	UCPGxwlhPEJE89bT4gB6rzhg
Mike Cernovich	Alt-lite	Alt-lite	1	UC87YBeLMwXhgaw5tcCxsXgQ
MILO	Alt-lite	Alt-lite	1	UC0aVoboXBUx2-tVIWHc3W2Q
Blonde in the Belly of the Beast	Alt-lite	Alt-lite	1	UCpbyOgUSjTSPpvVUAT2OyHw
Vee	Alt-lite	Alt-lite	1	UC8RJExf7iNpV6tp6hvNtwww
Paul Joseph Watson	Alt-lite	Alt-lite	1	UCittVh8imKanO_5KohzDbpg
Styxhexenhammer666	Alt-lite	Alt-lite	1	UC0rZoXAD5lxgBHMsjrGwWWQ
Stefan Molyneux	Alt-lite	Alt-lite	1	UCC3L8QaxqEGUiBC252GHy3w
Lauren Southern	Alt-lite	Alt-lite	1	UCla6APLHX6W3FeNLc8PYuvg
Rebel Media	Alt-lite	Alt-lite	1	UCGy6uV7yqGWDeUWTZzT3ZEg
Rebel Canada	Alt-lite	Alt-lite	1	UCOwtpxZT8kXYfoj0W4XBrjw
Rebel Edge	Alt-lite	Alt-lite	1	UCOZN0I173I_3aIDrPw0Irmw
Lauren Chen	Alt-lite	Alt-lite	1	UCLUrVTVTA3PnUFpYvpfMcpg
No Bullshit	Alt-lite	Alt-lite	1	UCZNk7Jjb2t8EuBdgn4Zj1cw
No Bullshit 2	Alt-lite	Alt-lite	1	UCGQHgCgSdUtcWufqzBHDzhA
Laura Loomer	Alt-lite	Alt-lite	1	UCsWnDtLWKEMJHKYCc9647yQ
Computing Forever	Alt-lite	Alt-lite	1	UCT9D87j5W7PtE7NHOR5DUOQ
Andy Warski	Alt-lite	Alt-lite	1	UC2h3yPmh9TfQv2z3aTDTHHA
America First with Nicholas J Fuentes	Alt-lite	Alt-lite	1	UCsJ86N5n7fcEC_Ds8dYJKzA
Nick Fuentes Clips	Alt-lite	Alt-lite	1	UCrVft1rhiJqIt7USDCwQ9Mg
Steve Trueblue	Alt-*	Alt-*	2	UCqDUhDiWJdk3inMxtEPOUWw
This is Europa	Alt-*	Alt-*	2	UCBceihEYR7elOoeWTuDhAzA
eliharman	Alt-*	Alt-*	2	UCPaDUD522GNh4WqMqTnzO2A
Stand Up Europe	Alt-*	Alt-*	2	UC1B82kNwoGlRwcFt3xWa6Rg
TheArmenianNation	Alt-*	Alt-*	2	UC3eWseER6XOMR6RcwcIJ23A
Survive the Jive	Alt-*	Alt-*	2	UCZAENaOaceQUMd84GDc26EA
Forgotten Roots	Alt-*	Alt-*	2	UCJpN-GBTchQaSVwBbefYMNg
ThuleanPerspective	Alt-*	Alt-*	2	UChBsOxskMpDmBAsgJ91fKcg
American Pride	Alt-*	Alt-*	2	UCUXTC5yhqkNTKDvK5-lAUJw
Engländer	Alt-*	Alt-*	2	UCg3sDb6KYo-IuU94Ym08H3g
The Alternative Hypothesis	Alt-*	Alt-*	2	UC2w1CQqPli4w94-PCg2UvJQ
AustralianRealist	Alt-*	Alt-*	2	UCHC60upCUfq7EAfw6oDQRDA
Brave New World	Alt-*	Alt-*	2	UC659f8KdxrINaB3Ta7TEZzg
Alt-Right Tankie	Alt-*	Alt-*	2	UCFWmmu2MmGW8Obc5pNDDJmw
Oppressed Media	Alt-*	Alt-*	2	UC6EyGxVgmTGt27_U9c_oz9g
The Iconoclast	Alt-*	Alt-*	2	UClJ8Z0YvEm-ClFj3fdQgQkw
Renaissance Horizon	Alt-*	Alt-*	2	UCtBv3C8qTj7kaRGVu8UQfLQ
Mark Collett	Alt-*	Alt-*	2	UCdf14z6V0MWNeVcbAz0r8wQ
David Icke	Alt-*	Alt-*	2	UCAhmDfQ1LfOYECmNNWgXJ7Q
Argent	Alt-*	Alt-*	2	UC0uWCUBVPIhgsjai2RN1buQ
Charles Zeiger	Alt-*	Alt-*	2	UC7zgrGKsGDeeu9xrz2qNTXg
grapjas60	Alt-*	Alt-*	2	UCGwD6FIVFso2IJQmFGgDNKA
Luke Ford	Alt-*	Alt-*	2	UCEYmda1KQTjrhLBeWutKuGA
Revcon Media	Alt-*	Alt-*	2	UCc7nGMWfSL48llqTeyQNQ_Q
andy nowicki	Alt-*	Alt-*	2	UCSTp3xBWG5SbMiDwjJQQ0Lg
Real McGoy	Alt-*	Alt-*	2	UCoHbKigbQVbt6mygvfKwgmA
American Pride 2	Alt-*	Alt-*	2	UCxBZXHQ2aTr8Bdw8s5ZY4xQ
Kirix	Alt-*	Alt-*	2	UCPHCKNP3VeIHRIiWQ5612aw
BigCatKayla Livestreams	Alt-*	Alt-*	2	UCP9oVEmpxbxmHd1_s3w6wTw
thkelly67	Alt-*	Alt-*	2	UCIKAZwaFnH_QX1ddYDQf-lg
Alt Right	Alt-*	Alt-*	2	UChKlct63f5tEY-twY8TKAcg
Augustus Invictus for United States Senate	Alt-*	Alt-*	2	UCsdPzJBJYQlsKigw_3XTqJw
News2Share	Alt-*	Alt-*	2	UCbBm6SZ235HFxwVKC7Po5IA
Revenge Of The Cis	Alt-*	Alt-*	2	UC7Ql1bhBYk8LVMpZfkRZJGQ
Liberty.me	Alt-*	Alt-*	2	UC9GLI2PKK0SBl4s9TBBmZDw
Liberty Machine News	Alt-*	Alt-*	2	UCso6oQ3qy7z61Fr8b0WNBMw
Nationalist Media Network	Alt-*	Alt-*	2	UCuVUvrf4H3XnwNa2yvFXxYA
