Name,Category,Sub-Category,Data Collection step,Id
Owen Benjamin	Intellectual Dark Web	Intellectual Dark Web	1	UCyQsQSKayfcZoHaCjqxxSlg
Owen Benjamin Clips	Intellectual Dark Web	Intellectual Dark Web	1	UChtQHPkYDY0gQOOMEpVUlNA
Matt Christiansen	Intellectual Dark Web	Intellectual Dark Web	1	UCxeY-wRrb65Jt37QHa5xMog
Rebel Wisdom	Intellectual Dark Web	Intellectual Dark Web	1	UCFQ6Gptuq-sLflbJ4YY3Umw
SargonofAkkad100	Intellectual Dark Web	Intellectual Dark Web	1	UC-yewGHQbNFpDrGM0diZOLA
The Thinkery	Intellectual Dark Web	Intellectual Dark Web	1	UCpiCH7qvGVlzMOqy3dncA5Q
PowerfulJRE	Intellectual Dark Web	Intellectual Dark Web	1	UCzQUP1qoWDoEbmsQxvdjxgQ
joerogandotnet	Intellectual Dark Web	Intellectual Dark Web	1	UCZOEywSEwg8YZcKMoI5mHgA
JRE Clips	Intellectual Dark Web	Intellectual Dark Web	1	UCnxGkOGNMqQEUMvroOWps6Q
The Rubin Report	Intellectual Dark Web	Intellectual Dark Web	1	UCJdKr0Bgd_5saZYqLCa9mng
Gad Saad	Intellectual Dark Web	Intellectual Dark Web	1	UCLH7qUqM0PLieCVaHA7RegA
Ben Shapiro	Intellectual Dark Web	Intellectual Dark Web	1	UCnQC_G5Xsjhp9fEJKuIcrSw
JordanPetersonVideos	Intellectual Dark Web	Intellectual Dark Web	1	UCL_f53ZEJxp8TtlOkHwMV9Q
Jordan B Peterson Clips	Intellectual Dark Web	Intellectual Dark Web	1	UCodkb-qBktJI5NrUsPYpf7g
Lindsay Shepherd	Intellectual Dark Web	Intellectual Dark Web	1	UCTjxmzChimJa3X_rAgLAnxg
Bret Weinstein	Intellectual Dark Web	Intellectual Dark Web	1	UCi5N_uAqApEUIlg32QzkPlg
StevenCrowder	Intellectual Dark Web	Intellectual Dark Web	1	UCIveFvW-ARp_B_RckhweNJw
Sam Harris	Intellectual Dark Web	Intellectual Dark Web	1	UCNAxrHudMfdzNi6NxruKPLw
successcouncil	Intellectual Dark Web	Intellectual Dark Web	2	UCchU0j9bXOa_E1xbxB5MqbQ
The Rational Rise	Intellectual Dark Web	Intellectual Dark Web	2	UCdEfsAy6rUDPnm9HwKA_asg
CISAus	Intellectual Dark Web	Intellectual Dark Web	2	UC5c-JkKHb0YxFZ81XBtFCmw
Desi-Rae Thinking	Intellectual Dark Web	Intellectual Dark Web	2	UC-uP8fChoXf3FTHyttRRkUw
American Justice	Intellectual Dark Web	Intellectual Dark Web	2	UCW5BbfOqiBPIf_SZOe85Wjg
ReasonTV	Intellectual Dark Web	Intellectual Dark Web	2	UC0uVZd8N7FfIZnPu0y7o95A
TheAtlasSociety	Intellectual Dark Web	Intellectual Dark Web	2	UCPLjGLElB8hKpUkiZ1mnxeg
Notes For Space Cadets	Intellectual Dark Web	Intellectual Dark Web	2	UCFVabwlhdsTGiqOgCEZyUXg
The Free Speech Club	Intellectual Dark Web	Intellectual Dark Web	2	UCioON-JvOyXE-aZ2-UCBqDw
1791	Intellectual Dark Web	Intellectual Dark Web	2	UCp4oMaqaY0hIoT9jafj1g8g
American Enterprise Institute	Intellectual Dark Web	Intellectual Dark Web	2	UCt8lRYpzb-sSrKFb4DT2ECw
Gravitahn	Intellectual Dark Web	Intellectual Dark Web	2	UCskcws9RtJPRM02UVe43BQA
AynRandInstitute	Intellectual Dark Web	Intellectual Dark Web	2	UCM6z9wqPxdRHjAC_Pjdp5yQ
battleofideas	Intellectual Dark Web	Intellectual Dark Web	2	UCjoF4jS4oR479_Y2y9Oksbg
Daily Caller	Intellectual Dark Web	Intellectual Dark Web	2	UCP4BdwPKyYnfRLjSNfGAPRA
Conversations with Bill Kristol	Intellectual Dark Web	Intellectual Dark Web	2	UCmA54XhpFJWyw_Bsj1jYsMw
Bull Brand	Intellectual Dark Web	Intellectual Dark Web	2	UCij5BjgH6WjDqOzB6UZZpjA
The Heritage Foundation	Intellectual Dark Web	Intellectual Dark Web	2	UC5bEfSFTYQVfLCwkhBt8NtQ
YAFTV	Intellectual Dark Web	Intellectual Dark Web	2	UC4-AGCUwX7C-D4BsBook9fQ
Joe Rogan University - Fan Channel	Intellectual Dark Web	Intellectual Dark Web	2	UCrm7RGOsstgF4qAG5mFGK-w
Transliminal	Intellectual Dark Web	Intellectual Dark Web	2	UC3yl-2o2mOPmsjgxDXTKbCA
SecularTalk	Intellectual Dark Web	Intellectual Dark Web	2	UCldfgbzNILYZA4dmDt4Cd6A
Glenn Beck	Intellectual Dark Web	Intellectual Dark Web	2	UCEao2vcm4FzkXKJQCH6mvWw
ybrook	Intellectual Dark Web	Intellectual Dark Web	2	UCabMx-URCjr2toe9wOE3Y-Q
MeaningofLife.tv	Intellectual Dark Web	Intellectual Dark Web	2	UCyXhXAmTRVfeiD8JkWJ7Tzg
ZeroFox Given	Intellectual Dark Web	Intellectual Dark Web	2	UCliHpHuY_aIZ7pGWO9tUx_w
Think Inc.	Intellectual Dark Web	Intellectual Dark Web	2	UCIcG1DFunampyV70gRlfozw
