Name,Category,Sub-Category,Data Collection step,Id
Howard Dare,Manosphere,MGTOW,1,Ucs-brcHDxKqrOGU9cEWuCMQ
Ronin Man,Manosphere,MGTOW,1,Ucj5j4pIgg8gtcRA4iYTWiAg
Sandman,Manosphere,MGTOW,1,UCeCV-XNeZIoHiCGfNYCLh9Q
Turd Flinging Monkey,Manosphere,MGTOW,1,UCbgzmK-mfpjULHZ8SMCuhdg
Bold and Determined,Manosphere,MGTOW,1,UCvM0vwv9wWh13d21f4HdJrw
Redonkulas,Manosphere,MGTOW,1,UCwd_sSDZ8EQt6SEeOO2tBRA
Thinking-Ape,Manosphere,MGTOW,1,Uco1qRcO1OehgkOD_fHsu_uQ
bar bar,Manosphere,MGTOW,1,UCDoNFQZqQpd6aL32Ua4JPTQ
RPW,Manosphere,MGTOW,1,UcdGVD4QzNyUrfyX5oiZVtfQ
huMAN,Manosphere,MGTOW,1,UCT2dUsMtd08RfaH12O9DCDg
Misandry Today,Manosphere,MGTOW,1,UCbJx13WCQq8mpbaIwz6Oanw
Jolly Misanthrope,Manosphere,MGTOW,1,UCV8_fJZJe4GXqPq3bS0f6mw
The Stoic MGTOW,Manosphere,MGTOW,1,UCIEO_w-8_voXDymte5KYw_A
Paul Proteus,Manosphere,MGTOW,1,UCk2AXFIEy8Fq-ExkJxhLh_A
Groundwork For The Metaphysics of MGTOW,Manosphere,MGTOW,1,UCZrMKcDNPruX8ltP0Y0pOTw
Mayor of MGTOW,Manosphere,MGTOW,1,UCdMPdytnpICXabqQE7LG-sQ
John The Other,Manosphere,MGTOW,1,UC255AfKquZnQMO0amxdEGWw
MGT OW,Manosphere,MGTOW,1,UCKoYrCh8bOYuqAnkXx9Uakw
RazorBladeKandy2,Manosphere,MGTOW,1,UCrSJF7GT6MOm6PxYmv0H3_g
Coach Red Pill,Manosphere,MGTOW,2,UC5tEELgWBfKbA9fVPRzBzPQ
Sidney MGTOW,Manosphere,MGTOW,2,UCSKhcq_fYLgYMWzVw52GjBg
Rollo Tomassi,Manosphere,MGTOW,2,UC8eLDzfH6YfZRDbDuMsNWiA
Stephon Clinkscales,Manosphere,MGTOW,2,UC3n-Hywbms82-FPejNPpnEA
AlphaMaleSecrets,Manosphere,MGTOW,2,UCPa30Vkk1iM3rahMbjfltjw
Yorkshire MGTOW,Manosphere,MGTOW,2,UCFsAy88-PQxn8NiahfBCwgg
Zangatti,Manosphere,MGTOW,2,UCWrbXJxmAol4DZdfiz2-vIw
Kingee Mgtow,Manosphere,MGTOW,2,UCpbACnMmFIaKjCbwrZROXvg
MrElite O_O,Manosphere,MGTOW,2,UCseRVXO0TkkxjF5Oum6X33A
Mr Forma,Manosphere,MGTOW,2,UC4u39IvAzPFPz3K7Nxg2o4g
The Thinking Man's Templar,Manosphere,MGTOW,2,UCb7fZ328aBqOClRuAOOKjqw
HardHittingHealthTruth J,Manosphere,MGTOW,2,UCRboG-2RFSZbOs4LQo6bKOw
Calrisianthagod,Manosphere,MGTOW,2,UCR0srRLH-bri5HPnoaZJclw
Alexander Grace,Manosphere,MGTOW,2,UCeY3vg1r0KrvuyPOi7T39eA
Yogi Oabs,Manosphere,MGTOW,2,UCyc9mFN1Gf24xfO0cl8gJug
JDAWG MGTOW,Manosphere,MGTOW,2,UCWvzoD9t7tIKV3WjOzk-Yfw
Cyber Monk,Manosphere,MGTOW,2,UCRiQPLkTbRXwVuoeRNjJohg
Sydney MGTOW,Manosphere,MGTOW,2,UCSKhcq_fYLgYMWzVw52GjBg
fat guy Mgtow,Manosphere,MGTOW,2,UCnN9VhiGlmjCz0JaZi3GnkQ
M TMM,Manosphere,MGTOW,2,UCHJRJ0f4qV5eQzH3LerhyJA
Johnny MGTOW,Manosphere,MGTOW,2,UC_OGIvbOor3bUybYaUTIo3w
The Mad MGTOW,Manosphere,MGTOW,2,UCzH0b69GmcdQg-ArmrgeNsQ
Marcel Enlightened,Manosphere,MGTOW,2,UCrv0NCiVhht6HfViwlaVJBA
MGTOW MANINAZI,Manosphere,MGTOW,2,UCmr4cFcLqeRUk6Km3vaGotA
Undead Chronic,Manosphere,MGTOW,2,UCFe3hqzU5BhiKdXlqjc1KtA
John Nada,Manosphere,MGTOW,2,UCrBS0YjL5OO8iBnV6f6M-bw
MGTOW Truth,Manosphere,MGTOW,2,UCIC8GH44FjpllvFu5DzO5xw
Wise2daGame,Manosphere,MGTOW,2,UCU80Ocd--K1vzTGYxMjEiOw
Alexander Juan Antonio Cortes,Manosphere,MGTOW,2,UCn0ZK0ayG3eJhQC_j90wBmw
King Richez On Fire,Manosphere,MGTOW,2,UC-Wz_tOR0ChooAoesAUv4Lw
The Dating Wizard,Manosphere,MGTOW,2,UCCLBZkbVMsDy3T-ErLOkVdw
Manosphere Environment,Manosphere,MGTOW,2,UCFlDbTySKx1uRx4R50w-9eA
College MGTOW,Manosphere,MGTOW,2,UChJNXTQCr7YIziV8d1H6tXw
Inconspicuous Man,Manosphere,MGTOW,2,UCuf8fpJoQmy2wFb5W1zOWkA
Southern Male,Manosphere,MGTOW,2,UCVOPAzWt7c7bG1r2WkmV3Jg
James Von Maxwell,Manosphere,MGTOW,2,UCezB8ZxKLSmmL2gx8zb4iEw
EMAN67,Manosphere,MGTOW,2,UCnOofSLpyiDQcThNKf2JJGw
MGTOW MONEY,Manosphere,MGTOW,2,UC4l_02h-34rlgyUhBaUgcfQ
MGTOWN,Manosphere,MGTOW,2,UCSGTCm_L2ssNJmScEhJU3og
Red Pill Mindframe,Manosphere,MGTOW,2,UCH4-z1jU6v1QCZE0hqGcS7Q
Alpha Male Guide,Manosphere,MGTOW,2,UCton5c-eyajfNR_pRcKk86g
L O M,Manosphere,MGTOW,2,UCvGzonGrDIzUQnwJBLe22YQ
